iter	Passed	Remaining
788	26983	7216
789	27034	7186
790	27065	7151
791	27083	7112
792	27132	7082
793	27184	7052
794	27215	7017
795	27248	6983
796	27298	6953
797	27333	6918
798	27364	6884
799	27416	6854
800	27465	6823
801	27481	6784
802	27514	6750
803	27531	6711
804	27565	6677
805	27597	6642
806	27647	6612
807	27698	6581
808	27713	6542
809	27747	6508
810	27765	6470
811	27796	6435
812	27828	6400
813	27845	6362
814	27879	6328
815	27962	6305
816	28013	6274
817	28046	6240
818	28095	6209
819	28128	6174
820	28145	6136
821	28162	6098
822	28177	6060
823	28211	6025
824	28227	5987
825	28262	5953
826	28277	5915
827	28293	5877
828	28326	5843
829	28360	5808
830	28394	5774
831	28427	5740
832	28475	5708
833	28509	5674
834	28543	5640
835	28591	5608
836	28608	5571
837	28641	5536
838	28674	5502
839	28707	5468
840	28742	5433
841	28775	5399
842	28808	5365
843	28825	5327
844	28874	5296
845	28890	5258
846	28905	5221
847	28923	5184
848	28973	5153
849	29022	5121
850	29041	5084
851	29056	5047
852	29074	5010
853	29105	4975
854	29123	4939
855	29188	4910
856	29224	4876
857	29255	4841
858	29287	4807
859	29304	4770
860	29353	4738
861	29402	4707
862	29420	4670
863	29452	4635
864	29487	4602
865	29519	4567
866	29553	4533
867	29585	4499
868	29602	4462
869	29652	4430
870	29669	4394
871	29686	4357
872	29703	4321
873	29720	4284
874	29769	4252
875	29801	4218
876	29819	4182
877	29851	4147
878	29868	4111
879	29900	4077
880	29917	4041
881	29950	4007
882	29984	3973
883	30017	3938
884	30050	3904
885	30068	3868
886	30116	3836
887	30149	3802
888	30182	3768
889	30201	3732
890	30233	3698
891	30250	3662
892	30282	3628
893	30332	3596
894	30348	3560
895	30367	3524
896	30398	3490
897	30432	3456
898	30463	3422
899	30482	3386
900	30498	3351
901	30532	3317
902	30580	3284
903	30631	3252
904	30665	3219
905	30697	3184
906	30747	3152
907	30780	3118
908	30813	3084
909	30848	3050
910	30880	3016
911	30913	2982
912	30930	2947
913	30947	2911
914	30978	2877
915	30996	2842
916	31030	2808
917	31044	2773
918	31063	2737
919	31094	2703
920	31128	2670
921	31145	2634
922	31160	2599
923	31177	2564
924	31194	2529
925	31228	2495
926	31245	2460
927	31278	2426
928	31310	2392
929	31359	2360
930	31409	2327
931	31425	2292
932	31458	2259
933	31490	2225
934	31528	2191
935	31543	2156
936	31576	2123
937	31627	2090
938	31693	2058
939	31741	2026
940	31808	1994
941	31842	1960
942	31891	1927
943	31924	1893
944	31942	1859
945	31957	1824
946	31990	1790
947	32008	1755
948	32040	1721
949	32073	1688
950	32105	1654
951	32139	1620
952	32173	1586
953	32206	1552
954	32257	1519
955	32290	1486
956	32340	1453
957	32372	1419
958	32388	1384
959	32405	1350
960	32472	1317
961	32504	1283
962	32554	1250
963	32622	1218
964	32689	1185
965	32705	1151
966	32737	1117
967	32754	1082
968	32788	1048
969	32822	1015
970	32853	981
971	32871	946
972	32888	912
973	32918	878
974	32936	844
975	32970	810
976	33003	776
977	33053	743
978	33101	710
979	33170	676
980	33219	643
981	33252	609
982	33335	576
983	33353	542
984	33401	508
985	33420	474
986	33468	440
987	33484	406
988	33536	373
989	33585	339
990	33616	305
991	33668	271
992	33733	237
993	33783	203
994	33798	169
995	33833	135
996	33851	101
997	33900	67
998	33932	33
999	33966	0
